REGION,Start,End,RSI,CATEGORY,TERM1PCT,TERM2PCT,TERM3PCT,TERM4PCT,AREA0,POP0,AREA1,POP1,AREA2,POP2,AREA3,POP3,AREA4,POP4,STORM_ID,REGION_CODE,YEAR,MONTH
National,3/12/2017,3/15/2017,0,0,0,0,0,0,912334,140297803,396498,84129048,167194,42351533,95148,16573042,34307,4360383,20170312_20170315_1,110,2017,3
Northeast,3/12/2017,3/15/2017,10.658,4,0.181,0.236,0.332,0.251,176160,60603632,149762,47610111,115550,25385900,23746,2808998,1960,166977,20170312_20170315_1,101,2017,3
Northern Rockies and Plains,3/12/2017,3/15/2017,0.198,0,0.859,0.141,0,0,181590,2668627,24822,199132,1037,23503,0,0,0,0,20170312_20170315_1,105,2017,3
Ohio Valley,3/12/2017,3/15/2017,0.298,0,0.854,0.146,0,0,242834,41748553,21372,4007557,2402,260230,0,0,0,0,20170312_20170315_1,103,2017,3
Southeast,3/12/2017,3/15/2017,0.263,0,0.806,0.194,0,0,55363,10347947,7207,2718822,1258,269615,0,0,0,0,20170312_20170315_1,104,2017,3
South,3/12/2017,3/15/2017,0.004,0,1,0,0,0,23015,1265720,259,35005,0,0,0,0,0,0,20170312_20170315_1,106,2017,3
Upper Midwest,3/12/2017,3/15/2017,0.945,0,0.827,0.173,0,0,233359,23663307,70393,6462820,9994,392291,0,0,0,0,20170312_20170315_1,102,2017,3
National,2/9/2017,2/10/2017,0,0,0,0,0,0,328940,93587823,153010,51931530,54950,31344848,8552,7297718,297,3565,20170209_20170210_1,110,2017,2
Northeast,2/9/2017,2/10/2017,2.154,1,0.614,0.376,0.01,0,175084,60655477,86345,38297496,19604,14874285,192,2300,0,0,20170209_20170210_1,101,2017,2
Northern Rockies and Plains,2/9/2017,2/10/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20170209_20170210_1,105,2017,2
Ohio Valley,2/9/2017,2/10/2017,0.078,0,1,0,0,0,106892,20760254,8043,975196,0,0,0,0,0,0,20170209_20170210_1,103,2017,2
Southeast,2/9/2017,2/10/2017,0,0,0,0,0,0,39218,7355222,0,0,0,0,0,0,0,0,20170209_20170210_1,104,2017,2
South,2/9/2017,2/10/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20170209_20170210_1,106,2017,2
Upper Midwest,2/9/2017,2/10/2017,0,0,0,0,0,0,7745,4816868,0,0,0,0,0,0,0,0,20170209_20170210_1,102,2017,2
National,1/5/2017,1/8/2017,0,0,0,0,0,0,871262,111985673,574822,72844753,122787,20235678,11676,1523220,1403,75937,20170105_20170108_1,110,2017,1
Northeast,1/5/2017,1/8/2017,0.738,0,0.847,0.153,0,0,110803,54122963,21660,24763388,2748,2058235,0,0,0,0,20170105_20170108_1,101,2017,1
Northern Rockies and Plains,1/5/2017,1/8/2017,0.737,0,0.444,0.389,0.086,0.081,99876,2016320,48146,378610,17951,152548,711,6203,76,1792,20170105_20170108_1,105,2017,1
Ohio Valley,1/5/2017,1/8/2017,0.113,0,0.819,0.181,0,0,105921,11530617,8524,1332448,1057,136284,0,0,0,0,20170105_20170108_1,103,2017,1
South,1/5/2017,1/8/2017,1.057,1,0.998,0.002,0,0,224057,9647104,138124,4243211,134,1654,0,0,0,0,20170105_20170108_1,106,2017,1
Southeast,1/5/2017,1/8/2017,3.5,2,0.521,0.421,0.057,0.001,128101,27146996,88056,18439093,39900,7158997,970,430504,9,741,20170105_20170108_1,104,2017,1
Upper Midwest,1/5/2017,1/8/2017,0,0,0,0,0,0,19892,980288,0,0,0,0,0,0,0,0,20170105_20170108_1,102,2017,1
National,11/17/2016,11/22/2016,0,0,0,0,0,0,786136,75783974,786136,75783974,151280,8910033,33654,2376381,9273,919253,20161117_20161122_1,110,2016,11
Northeast,11/17/2016,11/22/2016,2.154,1,0.35,0.22,0.28,0.15,150944,48054817,74986,12449992,27157,2955306,3911,547545,211,22637,20161117_20161122_1,101,2016,11
Northern Rockies and Plains,11/17/2016,11/22/2016,1.549,1,0.75,0.24,0.01,0,304214,3382784,171269,1352920,27407,139155,269,1350,0,0,20161117_20161122_1,105,2016,11
Ohio Valley,11/17/2016,11/22/2016,0.153,0,0.8,0.2,0,0,38488,8050107,13934,1287985,2344,54798,9,163,0,0,20161117_20161122_1,103,2016,11
South,11/17/2016,11/22/2016,0.046,0,1,0,0,0,8514,34838,8514,34838,0,0,0,0,0,0,20161117_20161122_1,106,2016,11
Southeast,11/17/2016,11/22/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20161117_20161122_1,104,2016,11
Upper Midwest,11/17/2016,11/22/2016,2.538,1,0.32,0.19,0.29,0.2,137884,8214986,100520,3879487,33125,776606,7889,158612,442,13200,20161117_20161122_1,102,2016,11
National,2/2/2016,2/4/2016,0,0,0,0,0,0,566047,28289062,509147,20230140,243719,12354662,33779,1367686,557,30528,20160202_20160204_1,110,2016,2
Northeast,2/2/2016,2/4/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20160202_20160204_1,101,2016,2
Northern Rockies and Plains,2/2/2016,2/4/2016,4.679,2,0.35,0.42,0.23,0.01,164571,2686650,136365,2485889,86047,1326696,8994,135266,86,558,20160202_20160204_1,105,2016,2
Ohio Valley,2/2/2016,2/4/2016,0.001,0,1,0,0,0,11205,3247314,182,2538,0,0,0,0,0,0,20160202_20160204_1,103,2016,2
South,2/2/2016,2/4/2016,1.354,1,0.23,0.21,0.49,0.07,56064,664175,50567,475732,20229,101449,8668,35471,278,999,20160202_20160204_1,106,2016,2
Southeast,2/2/2016,2/4/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20160202_20160204_1,104,2016,2
Upper Midwest,2/2/2016,2/4/2016,2.801,1,0.53,0.46,0.01,0,203049,15950517,145110,10078283,57179,4885564,249,4007,0,0,20160202_20160204_1,102,2016,2
National,1/22/2016,1/24/2016,0,0,0,0,0,0,433833,102785509,364997,95101532,165330,55394705,80714,40032030,39747,28513007,20160122_20160124_1,110,2016,1
Northeast,1/22/2016,1/24/2016,17.758,4,0.08,0.1,0.54,0.27,92140,52963122,69441,47293970,39929,35036764,19200,21000936,1220,1121182,20160122_20160124_1,101,2016,1
Northern Rockies and Plains,1/22/2016,1/24/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20160122_20160124_1,105,2016,1
Ohio Valley,1/22/2016,1/24/2016,9.958,3,0.13,0.11,0.24,0.51,164398,21700071,126544,15184680,65079,5924473,26677,1918893,11301,712156,20160122_20160124_1,103,2016,1
South,1/22/2016,1/24/2016,0.415,0,0.7,0.3,0,0,64944,3415491,27205,1589203,1902,382002,0,0,0,0,20160122_20160124_1,106,2016,1
Southeast,1/22/2016,1/24/2016,12.616,4,0.2,0.14,0.27,0.39,112350,24706823,103355,21907163,49453,8267932,25543,5660751,10301,3391437,20160122_20160124_1,104,2016,1
Upper Midwest,1/22/2016,1/24/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20160122_20160124_1,102,2016,1
National,11/20/2015,11/22/2015,0,0,0,0,0,0,663791,53795862,629195,52082038,87326,15150613,3603,1049828,96,68590,20151120_20151122_1,110,2015,11
Northeast,11/20/2015,11/22/2015,0.201,0,1,0,0,0,8158,6978850,8158,6978850,0,0,0,0,0,0,20151120_20151122_1,101,2015,11
Northern Rockies and Plains,11/20/2015,11/22/2015,1.709,1,0.73,0.22,0.06,0,270579,3006650,163322,1357391,12858,286501,221,17630,0,0,20151120_20151122_1,105,2015,11
Ohio Valley,11/20/2015,11/22/2015,1.74,1,0.42,0.32,0.2,0.06,91285,19383513,40823,13482536,12925,6285884,1210,855571,86,66459,20151120_20151122_1,103,2015,11
South,11/20/2015,11/22/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20151120_20151122_1,106,2015,11
Southeast,11/20/2015,11/22/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20151120_20151122_1,104,2015,11
Upper Midwest,11/20/2015,11/22/2015,2.855,1,0.58,0.42,0.01,0,179831,18671488,122825,15168449,38709,5969431,96,21250,0,0,20151120_20151122_1,102,2015,11
National,2/15/2015,2/17/2015,0,0,0,0,0,0,958645,147825594,311123,65961486,50961,5083196,1393,92368,0,0,20150215_20150217_1,110,2015,2
Northeast,2/15/2015,2/17/2015,0.317,0,1,0,0,0,104297,54879680,17019,9497552,0,0,0,0,0,0,20150215_20150217_1,101,2015,2
Northern Rockies and Plains,2/15/2015,2/17/2015,0.017,0,1,0,0,0,151443,1404545,1066,29372,0,0,0,0,0,0,20150215_20150217_1,105,2015,2
Ohio Valley,2/15/2015,2/17/2015,1.489,1,0.62,0.31,0.07,0,295017,45393549,102990,8417565,29416,1924562,1162,80410,0,0,20150215_20150217_1,103,2015,2
South,2/15/2015,2/17/2015,0.301,0,0.96,0.04,0,0,126448,6840926,21209,1913036,528,16563,0,0,0,0,20150215_20150217_1,106,2015,2
Southeast,2/15/2015,2/17/2015,1.961,1,0.54,0.41,0.04,0,114531,23412013,46272,8708306,26379,3235847,1133,66521,0,0,20150215_20150217_1,104,2015,2
Upper Midwest,2/15/2015,2/17/2015,0.029,0,0.99,0.01,0,0,157257,15866267,2392,234407,9,1276,0,0,0,0,20150215_20150217_1,102,2015,2
National,2/14/2015,2/16/2015,0,0,0,0,0,0,523668,123804154,197812,45784627,34682,12494260,3834,3981812,566,281756,20150214_20150216_1,110,2015,2
Northeast,2/14/2015,2/16/2015,1.14,1,0.65,0.25,0.06,0.04,176958,60987376,57189,15811262,6332,5451019,192,119149,19,8454,20150214_20150216_1,101,2015,2
Northern Rockies and Plains,2/14/2015,2/16/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20150214_20150216_1,105,2015,2
Ohio Valley,2/14/2015,2/16/2015,0.325,0,0.8,0.2,0,0,146119,33871000,15500,4560873,1470,753091,0,0,0,0,20150214_20150216_1,103,2015,2
South,2/14/2015,2/16/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20150214_20150216_1,106,2015,2
Southeast,2/14/2015,2/16/2015,0.029,0,1,0,0,0,53316,9780113,1797,152978,0,0,0,0,0,0,20150214_20150216_1,104,2015,2
Upper Midwest,2/14/2015,2/16/2015,0.42,0,0.79,0.21,0,0,147273,19166344,28839,2657124,4314,276643,0,0,0,0,20150214_20150216_1,102,2015,2
National,2/8/2015,2/10/2015,0,0,0,0,0,0,226325,56431004,118558,24010108,56852,15870667,7370,4958287,807,817081,20150208_20150210_1,110,2015,2
Northeast,2/8/2015,2/10/2015,1.897,1,0.53,0.32,0.15,0,136000,44457219,81925,19415082,20373,8736372,595,605258,0,0,20150208_20150210_1,101,2015,2
Northern Rockies and Plains,2/8/2015,2/10/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20150208_20150210_1,105,2015,2
Ohio Valley,2/8/2015,2/10/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20150208_20150210_1,103,2015,2
South,2/8/2015,2/10/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20150208_20150210_1,106,2015,2
Southeast,2/8/2015,2/10/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20150208_20150210_1,104,2015,2
Upper Midwest,2/8/2015,2/10/2015,0.024,0,0.97,0.03,0,0,86163,10968669,3267,52813,48,1731,0,0,0,0,20150208_20150210_1,102,2015,2
National,1/29/2015,2/3/2015,0,0,0,0,0,0,1487282,157026813,616731,91680290,288530,64934901,37834,20052244,538,1230025,20150129_20150203_1,110,2015,1
Northeast,1/29/2015,2/3/2015,2.606,1,0.65,0.35,0.01,0,175690,60670793,125689,37477760,34634,10922120,38,26697,0,0,20150129_20150203_1,101,2015,1
Northern Rockies and Plains,1/29/2015,2/3/2015,2.373,1,0.49,0.51,0,0,420648,4393831,74592,1991584,12685,1200707,0,0,0,0,20150129_20150203_1,105,2015,1
Ohio Valley,1/29/2015,2/3/2015,8.402,3,0.14,0.2,0.51,0.16,265380,45374623,79878,19540924,51375,16536490,14347,10589356,355,1061408,20150129_20150203_1,103,2015,1
South,1/29/2015,2/3/2015,0.118,0,0.64,0.36,0,0,85586,3237540,9129,296313,2700,32039,0,0,0,0,20150129_20150203_1,106,2015,1
Southeast,1/29/2015,2/3/2015,0.098,0,0.98,0.02,0,0,41150,7672936,5679,528639,86,6427,0,0,0,0,20150129_20150203_1,104,2015,1
Upper Midwest,1/29/2015,2/3/2015,4.75,2,0.34,0.51,0.13,0.02,213121,23126939,109371,16115891,68865,13404309,1489,671957,9,11406,20150129_20150203_1,102,2015,1
National,1/25/2015,1/28/2015,0,0,0,0,0,0,821481,143120004,235108,63001286,66424,26012126,23227,11459729,10013,6771866,20150125_20150128_1,110,2015,1
Northeast,1/25/2015,1/28/2015,6.158,3,0.24,0.17,0.41,0.18,177785,60992661,105066,35909413,32520,15060394,6650,4996059,221,263094,20150125_20150128_1,101,2015,1
Northern Rockies and Plains,1/25/2015,1/28/2015,0,0,0,0,0,0,98319,1973549,0,0,0,0,0,0,0,0,20150125_20150128_1,105,2015,1
Ohio Valley,1/25/2015,1/28/2015,0.457,0,0.84,0.16,0,0,225940,42984908,29166,5714288,3930,441872,0,0,0,0,20150125_20150128_1,103,2015,1
South,1/25/2015,1/28/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20150125_20150128_1,106,2015,1
Southeast,1/25/2015,1/28/2015,0.126,0,0.93,0.07,0,0,75621,13545770,5496,891665,259,39170,0,0,0,0,20150125_20150128_1,104,2015,1
Upper Midwest,1/25/2015,1/28/2015,0.03,0,1,0,0,0,243844,23629719,3988,97370,0,0,0,0,0,0,20150125_20150128_1,102,2015,1
National,1/20/2015,1/24/2015,0,0,0,0,0,0,548683,82308429,496491,72158960,72267,5392694,1537,40704,0,0,20150120_20150124_1,110,2015,1
Northeast,1/20/2015,1/24/2015,0.491,0,1,0,0,0,104114,53472342,21122,16663735,0,0,0,0,0,0,20150120_20150124_1,101,2015,1
Northern Rockies and Plains,1/20/2015,1/24/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20150120_20150124_1,105,2015,1
Ohio Valley,1/20/2015,1/24/2015,0.467,0,0.79,0.21,0,0,101808,14065323,35162,4303534,3834,864271,0,0,0,0,20150120_20150124_1,103,2015,1
South,1/20/2015,1/24/2015,1.827,1,0.48,0.23,0.29,0,123353,2586966,123353,2586966,24159,408544,2671,215769,0,0,20150120_20150124_1,106,2015,1
Southeast,1/20/2015,1/24/2015,0.471,0,0.91,0.09,0,0,25159,5321374,17788,3615656,1777,112273,0,0,0,0,20150120_20150124_1,104,2015,1
Upper Midwest,1/20/2015,1/24/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20150120_20150124_1,102,2015,1
National,12/9/2014,12/14/2014,0,0,0,0,0,0,206038,56352232,186241,36090979,91131,8730629,23006,2195990,1691,263515,20141209_20141214_1,110,2014,12
Northeast,12/9/2014,12/14/2014,1.881,1,0.56,0.39,0.06,0,162706,51280184,108064,12009376,40006,3780809,605,96523,0,0,20141209_20141214_1,101,2014,12
Northern Rockies and Plains,12/9/2014,12/14/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141209_20141214_1,105,2014,12
Ohio Valley,12/9/2014,12/14/2014,0.103,0,0.99,0.01,0,0,28032,3408768,9773,1188784,48,445,0,0,0,0,20141209_20141214_1,103,2014,12
South,12/9/2014,12/14/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141209_20141214_1,106,2014,12
Southeast,12/9/2014,12/14/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141209_20141214_1,104,2014,12
Upper Midwest,12/9/2014,12/14/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141209_20141214_1,102,2014,12
National,11/26/2014,11/28/2014,0,0,0,0,0,0,262189,74265395,226277,57577579,93457,11289148,7726,849408,115,2544,20141126_20141128_1,110,2014,11
Northeast,11/26/2014,11/28/2014,1.756,1,0.71,0.29,0,0,173671,60326804,114368,19351003,27686,2986741,0,0,0,0,20141126_20141128_1,101,2014,11
Northern Rockies and Plains,11/26/2014,11/28/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141126_20141128_1,105,2014,11
Ohio Valley,11/26/2014,11/28/2014,0.38,0,0.56,0.17,0.16,0.11,41995,5711243,21420,2247372,4776,145871,845,14165,105,2079,20141126_20141128_1,103,2014,11
South,11/26/2014,11/28/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141126_20141128_1,106,2014,11
Southeast,11/26/2014,11/28/2014,0.887,0,0.72,0.23,0.05,0,46502,8226625,33048,4378224,6131,904618,365,59469,0,0,20141126_20141128_1,104,2014,11
Upper Midwest,11/26/2014,11/28/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141126_20141128_1,102,2014,11
National,11/9/2014,11/11/2014,0,0,0,0,0,0,802243,27046188,382824,8223788,85452,2254228,6938,280268,19,920,20141109_20141111_1,110,2014,11
Northeast,11/9/2014,11/11/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141109_20141111_1,101,2014,11
Northern Rockies and Plains,11/9/2014,11/11/2014,1.221,1,0.82,0.18,0,0,414604,4570144,162284,818094,18403,67304,0,0,0,0,20141109_20141111_1,105,2014,11
Ohio Valley,11/9/2014,11/11/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141109_20141111_1,103,2014,11
South,11/9/2014,11/11/2014,0,0,0,0,0,0,41736,481262,0,0,0,0,0,0,0,0,20141109_20141111_1,106,2014,11
Southeast,11/9/2014,11/11/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20141109_20141111_1,104,2014,11
Upper Midwest,11/9/2014,11/11/2014,1.707,1,0.46,0.46,0.08,0,214524,15551606,84606,4613306,45820,1737296,1268,41406,0,0,20141109_20141111_1,102,2014,11
National,3/15/2014,3/18/2014,0,0,0,0,0,0,499516,89265438,88085,18355534,23150,7370534,269,43904,0,0,20140315_20140318_1,110,2014,3
Northeast,3/15/2014,3/18/2014,0.258,0,0.99,0.01,0,0,47358,35639206,13723,7697506,19,34066,0,0,0,0,20140315_20140318_1,101,2014,3
Northern Rockies and Plains,3/15/2014,3/18/2014,0,0,0,0,0,0,24765,1500540,0,0,0,0,0,0,0,0,20140315_20140318_1,105,2014,3
Ohio Valley,3/15/2014,3/18/2014,0.302,0,0.6,0.39,0.01,0,207470,28518007,21190,1439807,8600,310897,48,1931,0,0,20140315_20140318_1,103,2014,3
South,3/15/2014,3/18/2014,0.086,0,0.65,0.35,0,0,71335,4109215,6602,229585,1403,45287,0,0,0,0,20140315_20140318_1,106,2014,3
Southeast,3/15/2014,3/18/2014,0.972,0,0.4,0.48,0.1,0.02,64204,12379797,16759,3206967,9715,2757353,691,174543,67,6830,20140315_20140318_1,104,2014,3
Upper Midwest,3/15/2014,3/18/2014,0.005,0,1,0,0,0,84385,7118604,643,13644,0,0,0,0,0,0,20140315_20140318_1,102,2014,3
National,2/27/2014,3/4/2014,0,0,0,0,0,0,1913242,175522818,834272,68036818,108852,3318118,15039,120588,3651,28299,20140227_20140304_1,110,2014,2
Northeast,2/27/2014,3/4/2014,0.216,0,1,0,0,0,113388,54109748,10801,6736448,38,6638,0,0,0,0,20140227_20140304_1,101,2014,2
Northern Rockies and Plains,2/27/2014,3/4/2014,2.52,1,0.48,0.31,0.13,0.07,383621,3813651,180552,1157281,46531,407505,5275,20945,788,3420,20140227_20140304_1,105,2014,2
Ohio Valley,2/27/2014,3/4/2014,1.089,1,0.89,0.11,0,0,308692,46144916,101260,9774916,8082,479416,0,0,0,0,20140227_20140304_1,103,2014,2
South,2/27/2014,3/4/2014,0.951,0,0.9,0.11,0,0,309038,18295888,82905,4469288,3872,192268,0,0,0,0,20140227_20140304_1,106,2014,2
Southeast,2/27/2014,3/4/2014,0.919,0,0.64,0.36,0,0,91179,15602640,24649,5007540,5785,2100650,0,0,0,0,20140227_20140304_1,104,2014,2
Upper Midwest,2/27/2014,3/4/2014,0.602,0,1,0,0,0,228382,22842955,26216,7503555,28,1585,0,0,0,0,20140227_20140304_1,102,2014,2
National,2/11/2014,2/14/2014,0,0,0,0,0,0,545463,103176080,366554,83734980,232619,63028280,64454,24307880,4997,1087680,20140211_20140214_1,110,2014,2
Northeast,2/11/2014,2/14/2014,4.398,2,0.47,0.48,0.04,0,176679,59114214,142679,50973094,58938,34908494,893,223994,0,0,20140211_20140214_1,101,2014,2
Northern Rockies and Plains,2/11/2014,2/14/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20140211_20140214_1,105,2014,2
Ohio Valley,2/11/2014,2/14/2014,2.461,1,0.17,0.22,0.41,0.2,96244,10859019,44936,4215369,30905,2933529,11849,594829,1210,36340,20140211_20140214_1,103,2014,2
South,2/11/2014,2/14/2014,0.089,0,1,0,0,0,106843,6446018,12070,275818,0,0,0,0,0,0,20140211_20140214_1,106,2014,2
Southeast,2/11/2014,2/14/2014,10.666,4,0.29,0.32,0.24,0.14,165714,26758582,141564,24529722,100338,15522152,23044,3839552,4728,777422,20140211_20140214_1,104,2014,2
Upper Midwest,2/11/2014,2/14/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20140211_20140214_1,102,2014,2
National,1/29/2014,2/4/2014,0,0,0,0,0,0,1971694,160434715,1030133,101014115,182696,33001411,15299,238711,3968,76706,20140129_20140204_1,110,2014,1
Northeast,1/29/2014,2/4/2014,0.869,0,0.99,0.01,0,0,173710,58808812,35470,29749712,172,173512,0,0,0,0,20140129_20140204_1,101,2014,1
Northern Rockies and Plains,1/29/2014,2/4/2014,1.076,1,0.79,0.21,0,0,427106,4152519,116799,877549,13184,124212,9,352,0,0,20140129_20140204_1,105,2014,1
Ohio Valley,1/29/2014,2/4/2014,1.484,1,0.81,0.19,0,0,281649,42814359,96311,16989659,12704,2115159,19,11279,0,0,20140129_20140204_1,103,2014,1
South,1/29/2014,2/4/2014,1.392,1,0.69,0.26,0.06,0,262333,10772656,106401,4299986,20046,372466,1076,2702,0,0,20140129_20140204_1,106,2014,1
Southeast,1/29/2014,2/4/2014,0.022,0,1,0,0,0,13204,2943842,1172,150282,0,0,0,0,0,0,20140129_20140204_1,104,2014,1
Upper Midwest,1/29/2014,2/4/2014,1.528,1,0.99,0.01,0,0,229832,23121940,101250,15170150,624,55750,0,0,0,0,20140129_20140204_1,102,2014,1
National,1/28/2014,1/29/2014,0,0,0,0,0,0,457830,93936096,88239,15669600,2719,1161800,0,0,0,0,20140128_20140129_1,110,2014,1
Northeast,1/28/2014,1/29/2014,0.046,0,1,0,0,0,62657,47009767,3651,941367,0,0,0,0,0,0,20140128_20140129_1,101,2014,1
Northern Rockies and Plains,1/28/2014,1/29/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20140128_20140129_1,105,2014,1
Ohio Valley,1/28/2014,1/29/2014,0.054,0,0.99,0.01,0,0,72046,7507290,4497,718030,19,1335,0,0,0,0,20140128_20140129_1,103,2014,1
South,1/28/2014,1/29/2014,0.011,0,1,0,0,0,99463,8097256,1249,49476,0,0,0,0,0,0,20140128_20140129_1,106,2014,1
Southeast,1/28/2014,1/29/2014,1.575,1,0.84,0.16,0,0,223663,31321820,61965,10014920,6063,1381750,0,0,0,0,20140128_20140129_1,104,2014,1
Upper Midwest,1/28/2014,1/29/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20140128_20140129_1,102,2014,1
National,1/20/2014,1/22/2014,0,0,0,0,0,0,743651,141583465,166570,63163161,34740,30598161,182,658961,0,0,20140120_20140122_1,110,2014,1
Northeast,1/20/2014,1/22/2014,1.294,1,0.79,0.21,0,0,169039,59023320,36325,37285320,2152,6821020,0,0,0,0,20140120_20140122_1,101,2014,1
Northern Rockies and Plains,1/20/2014,1/22/2014,0,0,0,0,0,0,6256,968415,0,0,0,0,0,0,0,0,20140120_20140122_1,105,2014,1
Ohio Valley,1/20/2014,1/22/2014,0.758,0,0.74,0.26,0,0,266879,42413650,43783,8126350,11464,1060380,0,0,0,0,20140120_20140122_1,103,2014,1
South,1/20/2014,1/22/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20140120_20140122_1,106,2014,1
Southeast,1/20/2014,1/22/2014,0.818,0,0.73,0.27,0,0,99617,16991750,25110,5015850,4189,1369680,0,0,0,0,20140120_20140122_1,104,2014,1
Upper Midwest,1/20/2014,1/22/2014,0.052,0,0.95,0.05,0,0,201877,22187590,6217,182290,134,9021,0,0,0,0,20140120_20140122_1,102,2014,1
National,12/30/2013,1/3/2014,0,0,0,0,0,0,1256694,141200274,572796,104190274,131205,59064574,10378,4630674,1249,524024,20131230_20140103_1,110,2013,12
Northeast,12/30/2013,1/3/2014,2.766,1,0.73,0.23,0.05,0,170587,59042162,124362,53959742,24764,7428742,470,196982,0,0,20131230_20140103_1,101,2013,12
Northern Rockies and Plains,12/30/2013,1/3/2014,0.671,0,0.99,0.02,0,0,444981,4370946,103163,580046,816,3111,0,0,0,0,20131230_20140103_1,105,2013,12
Ohio Valley,12/30/2013,1/3/2014,3.22,2,0.45,0.32,0.21,0.02,241864,41335808,89478,24598708,19556,12784908,1403,1865108,96,34378,20131230_20140103_1,103,2013,12
South,12/30/2013,1/3/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20131230_20140103_1,106,2013,12
Southeast,12/30/2013,1/3/2014,0.317,0,0.99,0.01,0,0,52028,8320804,12089,2826604,105,5204,0,0,0,0,20131230_20140103_1,104,2013,12
Upper Midwest,12/30/2013,1/3/2014,1.521,1,0.65,0.35,0,0,236069,23203120,56362,11055120,9792,3451330,0,0,0,0,20131230_20140103_1,102,2013,12
National,12/13/2013,12/16/2013,0,0,0,0,0,0,1004590,135016497,374539,85888497,142986,22071497,19219,1182997,163,12067,20131213_20131216_1,110,2013,12
Northeast,12/13/2013,12/16/2013,2.678,1,0.68,0.32,0,0,174507,58818190,142843,37336090,49222,3853990,0,0,0,0,20131213_20131216_1,101,2013,12
Northern Rockies and Plains,12/13/2013,12/16/2013,0.036,0,1,0,0,0,167319,1671542,5938,28172,0,0,0,0,0,0,20131213_20131216_1,105,2013,12
Ohio Valley,12/13/2013,12/16/2013,1.807,1,0.71,0.28,0,0,250340,40719598,88834,20589298,24678,3662498,76,1898,0,0,20131213_20131216_1,103,2013,12
South,12/13/2013,12/16/2013,0.001,0,1,0,0,0,31626,2454722,48,3002,0,0,0,0,0,0,20131213_20131216_1,106,2013,12
Southeast,12/13/2013,12/16/2013,0.042,0,1,0,0,0,42466,6694873,2085,294313,0,0,0,0,0,0,20131213_20131216_1,104,2013,12
Upper Midwest,12/13/2013,12/16/2013,1.066,1,0.86,0.14,0,0,245430,23021260,52509,10054560,2710,1021270,0,0,0,0,20131213_20131216_1,102,2013,12
National,12/1/2013,12/7/2013,0,0,0,0,0,0,1975870,135456733,942810,42255733,333121,9544533,7553,138473,518,7653,20131201_20131207_1,110,2013,12
Northeast,12/1/2013,12/7/2013,0.003,0,1,0,0,0,141747,40090529,230,44529,0,0,0,0,0,0,20131201_20131207_1,101,2013,12
Northern Rockies and Plains,12/1/2013,12/7/2013,3.837,2,0.6,0.4,0,0,446951,3278161,330036,2277051,91112,799551,153,654,0,0,20131201_20131207_1,105,2013,12
Ohio Valley,12/1/2013,12/7/2013,1.678,1,0.54,0.42,0.04,0,260267,38569826,82501,11033026,45474,3024266,836,35886,0,0,20131201_20131207_1,103,2013,12
South,12/1/2013,12/7/2013,1.358,1,0.64,0.35,0.01,0,297477,16114825,71661,5322325,16106,1035405,57,1915,0,0,20131201_20131207_1,106,2013,12
